Unnamed: 0,barangay,name_original,address,address_clean,major_division,sub_division,category,data_source,open_hours,close_hours,latitude,longitude,district
74,Bahay Toro,achieving independence and meaningful skill therapy center,"unit f, 3rd flr. , 38 general avenue, bahay toro, quezon city, ncr, 1106","unit f, 3rd Floor , 38 general avenue, bahay toro, quezon city, ncr, 1106, Philippines",Long-term care and rehabilitation services,,Physical therapy clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",9:00AM,6:00PM,14.67191209,121.0251722,1.0
75,Bahay Toro,kidswecare pediatric therapy center,"unit 104, no. 20 shorthorn st., project 8, bahay toro, quezon city, ncr, 1106","unit 104, 20 shorthorn Street, project 8, bahay toro, quezon city, ncr, 1106, Philippines",Long-term care and rehabilitation services,,Therapeutic clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",8:00AM,5:00PM,14.66535712,121.0220213,1.0
76,Bahay Toro,bricks developmental learning center,"#3-b, calla lily st., bahay toro, quezon city, ncr, 1106","#3-b, calla lily Street, bahay toro, quezon city, ncr, 1106, Philippines",Long-term care and rehabilitation services,,Therapeutic clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",8:00AM,5:00PM,14.6703104,121.033011,1.0
77,Bahay Toro,achieving independence and meaningful skill therapy center,"unit f, 3rd flr. , 38 general avenue, bahay toro, quezon city, ncr, 1106","unit f, 3rd Floor , 38 general avenue, bahay toro, quezon city, ncr, 1106, Philippines",Long-term care and rehabilitation services,,Physical therapy clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",9:00AM,6:00PM,14.67191209,121.0251722,1.0
78,Bahay Toro,Quezon City General Hospital,"Seminary Road, Barangay Bahay Toro, Project 8, QCGH","Seminary Road, Barangay Bahay Toro, Project 8, QCGH, Quezon City, Philippines",Health centers,,LGU-run hospitals,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",,,14.6612375,121.0181698,1.0
79,Bahay Toro,Sitio Maligaya I,14 Bayanihan Drive,"14 Bayanihan Drive, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,14.6683198,121.0237079,1.0
80,Bahay Toro,Toro Hills,"Road 11, Brgy. Bahay Toro","Road 11, Barangay Bahay Toro, Quezon City, Philippines",Health centers,,Health centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",,,14.66406412,121.0210466,1.0
81,Bahay Toro,synergy advanced rehabilitation and wound care corp.,"144, congressional ave. project 8, bahay toro, quezon city, ncr, 1106","144, congressional Avenue project 8, bahay toro, quezon city, ncr, 1106, Philippines",Long-term care and rehabilitation services,,Physical therapy clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",9:00AM,6:00PM,14.66325289,121.0210085,1.0
82,Balingasa,skills at play therapy center inc.,"27, j. aquino cruz, balingasa, quezon city, ncr, 1115","27, j. aquino cruz, balingasa, quezon city, ncr, 1115, Philippines",Long-term care and rehabilitation services,,Physical therapy clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",8:00AM,5:00PM,14.65024375,121.0043049,1.0
83,Balingasa,Balingasa,"26 J. Aquino Cruz St., Brgy. Balingasa","26 J. Aquino Cruz Street, Barangay Balingasa, Quezon City, Philippines",Health centers,,Health centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",,,14.65024375,121.0043049,1.0
84,Balingasa,Tibagan,11 Road Harmony St.,"11 Road Harmony Street, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,14.65206841,121.0024084,1.0
85,Balong-bato,Balon Bato,11 E Maximina Drive beside Brgy. Hall,"11 E Maximina Drive beside Barangay Hall, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,,,6.0
86,Batasan Hills,Batasan Hills Lying–In Clinic,"2 IBP Road, Brgy. Batasan Hills","2 IBP Road, Barangay Batasan Hills, Quezon City, Philippines",Health centers,,LGU-run lying-in clinics,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",,,,,2.0
