,barangay,district,name_original,address,address_clean,major_division,sub_division,category,data_source,open_hours,close_hours,latitude,longitude
61,Bahay Toro,1,Pook Masagana,Alley 25 Pook Masagana,"Alley 25 Pook Masagana, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A
62,Bahay Toro,1,active-pt cares physical therapy services,"g/f, northridge plaza, 12, congressional ave, bahay toro, quezon city, ncr, 1106","g/f, northridge plaza, 12, congressional ave, bahay toro, quezon city, ncr, 1106, Philippines",Long-term care and rehabilitation services,#N/A,Physical therapy clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",12:00AM,12:00AM,14.670708,121.039056
63,Bahay Toro,1,San Jose Seminary II,Road 19 Bahay Toro Proj. 8,"Road 19 Bahay Toro Proj. 8, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,14.66468785,121.0200075
64,Bahay Toro,1,connecting bridges child services inc.,"unit 21, 2nd flr. wilcon city center, no. 121 visayas ave., bahay toro, quezon city, ncr, 1106","unit 21, 2nd Floor wilcon city center, 121 visayas Avenue, bahay toro, quezon city, ncr, 1106, Philippines",Long-term care and rehabilitation services,#N/A,Therapeutic clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",8:00AM,5:00PM,14.666404,121.042691
65,Bahay Toro,1,horizons of hope therapy center inc.,"2, wisdom st. , teresa village, bahay toro, quezon city, ncr, 1106","2, wisdom Street , teresa village, bahay toro, quezon city, ncr, 1106, Philippines",Long-term care and rehabilitation services,#N/A,Physical/occupational therapy school,"QC Future Ready dashboard, Long-term care and rehabilitation services",8:00AM,5:00PM,14.66627898,121.0403604
66,Bahay Toro,1,"haven of opportunities for people with exceptionalities (hope), inc.","35b, shorthorn street, project 8, bahay toro, quezon city, ncr, 1106","35b, shorthorn street, project 8, bahay toro, quezon city, ncr, 1106, Philippines",Long-term care and rehabilitation services,#N/A,Physical/occupational therapy school,"QC Future Ready dashboard, Long-term care and rehabilitation services",8:00AM,5:00PM,14.6666763,121.0210931
67,Bahay Toro,1,exxcellent home care services,"26 , road 11, project 8, bahay toro, quezon city, ncr, 1106","26 , road 11, project 8, bahay toro, quezon city, ncr, 1106, Philippines",Older persons care,#N/A,Nursing care center,"QC Future Ready dashboard, Older persons care",8:00AM,12:00AM,14.6641365,121.0217462
68,Bahay Toro,1,San Jose Seminary I,"Road 19 Bahay Toro, Proj. 8","Road 19 Bahay Toro, Proj. 8, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,14.66468785,121.0200075
69,Bahay Toro,1,Sitio Maligaya II,14 Bayanihan Drive,"14 Bayanihan Drive, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,14.6683198,121.0237079
70,Bahay Toro,1,apo senior living corporation,"unit 310 & 312, 7 general avenue, project 8, bahay toro, quezon city, ncr, 1106","unit 310 & 312, 7 general avenue, project 8, bahay toro, quezon city, ncr, 1106, Philippines",Older persons care,#N/A,Nursing care center,"QC Future Ready dashboard, Older persons care",8:00AM,5:00PM,14.6710737,121.0245703
71,Bahay Toro,1,bricks developmental learning center,"#3-b, calla lily st., bahay toro, quezon city, ncr, 1106","#3-b, calla lily Street, bahay toro, quezon city, ncr, 1106, Philippines",Long-term care and rehabilitation services,#N/A,Therapeutic clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",8:00AM,5:00PM,14.6703104,121.033011
72,Bahay Toro,1,"ste. anne de beaupre school, inc.","faith st., 7 teresa village, bahay toro, quezon city, ncr, 1106","faith Street, 7 teresa village, bahay toro, quezon city, ncr, 1106, Philippines",Childcare,Private,Child learning center,"QC Future Ready dashboard, Childcare",8:00AM,5:00PM,14.6662007,121.0390028
73,Bahay Toro,1,thinkerbel kids play and learning center inc.,"23 sf-11, congressional town center, congressional ave., bahay toro, quezon city, ncr, 1106","23 sf-11, congressional town center, congressional Avenue, bahay toro, quezon city, ncr, 1106, Philippines",Childcare,Private,Child learning center,"QC Future Ready dashboard, Childcare",8:00AM,5:00PM,14.6713108,121.0400152
74,Bahay Toro,1,achieving independence and meaningful skill therapy center,"unit f, 3rd flr. , 38 general avenue, bahay toro, quezon city, ncr, 1106","unit f, 3rd Floor , 38 general avenue, bahay toro, quezon city, ncr, 1106, Philippines",Long-term care and rehabilitation services,#N/A,Physical therapy clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",9:00AM,6:00PM,14.67191209,121.0251722
75,Bahay Toro,1,kidswecare pediatric therapy center,"unit 104, no. 20 shorthorn st., project 8, bahay toro, quezon city, ncr, 1106","unit 104, 20 shorthorn Street, project 8, bahay toro, quezon city, ncr, 1106, Philippines",Long-term care and rehabilitation services,#N/A,Therapeutic clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",8:00AM,5:00PM,14.66535712,121.0220213
76,Bahay Toro,1,bricks developmental learning center,"#3-b, calla lily st., bahay toro, quezon city, ncr, 1106","#3-b, calla lily Street, bahay toro, quezon city, ncr, 1106, Philippines",Long-term care and rehabilitation services,#N/A,Therapeutic clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",8:00AM,5:00PM,14.6703104,121.033011
