name_original,address,barangay,district,major_division,sub_division,category,source_reference,latitude,longitude,open_hours,close_hours,frequency_mon_fri,frequency_saturday,frequency_sunday,bus_route,data_source
3M's 24Hrs Lying-in Clinic main branch,"M3VR+FPJ, Freedom Pk V, Quezon City",Commonwealth,2.0,Health centers,,Lying-in clinic,For Validation,14.6936995,121.0917544,,,,,,,Google API - For Validation
Republic Health Center,"M3VC+FGJ, Commonwealth Ave, Quezon City",Commonwealth,2.0,Health centers,,Health center,For Validation,14.6937284,121.071257,,,,,,,Google API - For Validation
Yemoja Lying-in and Medical Clinic,"Block 10 Lot 5, Hon. B. Soliven Street, Commonwealth, Quezon City",Commonwealth,2.0,Health centers,,Lying-in clinic,For Validation,14.702106,121.088433,,,,,,,Google API - For Validation
Zapia Lying In Clinic,"1652 Martan St, Quezon City",Commonwealth,2.0,Health centers,,Lying-in clinic,For Validation,14.6976141,121.0855303,,,,,,,Google API - For Validation
Batasan Hills Health Center and Lying-in Clinic,"M3XQ+R3M, Novaliches, Quezon City",Commonwealth,2.0,Health centers,,Lying-in clinic,For Validation,14.6995919,121.0876764,,,,,,,Google API - For Validation
NGC Lying-In Clinic,"M3WH+JPV MRB Compound, Pilot Drive, Quezon City",Commonwealth,2.0,Health centers,,Lying-in clinic,For Validation,14.6966024,121.0792869,,,,,,,Google API - For Validation
Angeles-Santo Polyclinic & Lying In Clinic,"764-B, Tandang Sora Avenue, Quezon City",Culiat,6.0,Health centers,,Lying-in clinic,For Validation,14.6728966,121.0498776,,,,,,,Google API - For Validation
Hospital On Wheels,"Block 2 Congressional Ave Ext, Quezon City",Culiat,6.0,Health centers,,Private hospital,For Validation,14.6730986,121.0578136,,,,,,,Google API - For Validation
Sheryl Birthing Home And Lying-In Clinic,"J2P6+XM9, Caragay, San Francisco del Monte, Quezon City",Damayan,1.0,Health centers,,Lying-in clinic,For Validation,14.6374028,121.0117252,,,,,,,Google API - For Validation
Pulmonary Hospital,"J297+47Q, Mariana, San Juan City",Doña Imelda,4.0,Health centers,,Private hospital,For Validation,14.6178488,121.0132412,,,,,,,Google API - For Validation
Commonwealth General Hospital,"Commonwealth Ave, Fairview, Novaliches, Quezon City",Fairview,5.0,Health centers,,Private hospital,For Validation,14.70573,121.0718985,,,,,,,Google API - For Validation
Neopolitan General Hospital,"G, 0 Quirino Hwy, Novaliches, Quezon City",Greater Lagro,5.0,Health centers,,Private hospital,For Validation,14.7352147,121.0686012,,,,,,,Google API - For Validation
Mother & Child Lying - In Clinic,"37 Villareal, Novaliches, Quezon City",Gulod,5.0,Health centers,,Lying-in clinic,For Validation,14.7136602,121.0376001,,,,,,,Google API - For Validation
Lozano lying clinic,"36 Nitang Ave, Novaliches, Quezon City",Gulod,5.0,Health centers,,Lying-in clinic,For Validation,14.714541,121.0416451,,,,,,,Google API - For Validation
Grace Jayne Lying In Clinic,Quezon City,Holy Spirit,2.0,Health centers,,Lying-in clinic,For Validation,14.6879521,121.0836749,,,,,,,Google API - For Validation
St. Isabella Lying-In & Medical Clinic,"Area C Nawasa Line Republic Ave, Novaliches, Quezon City",Holy Spirit,2.0,Health centers,,Lying-in clinic,For Validation,14.6932581,121.0701859,,,,,,,Google API - For Validation
Shawie hospital,"P2RW+2MW, Zabarte Rd, Novaliches, Quezon City",Kaligayahan,5.0,Health centers,,Private hospital,For Validation,14.7401011,121.0467185,,,,,,,Google API - For Validation
Accredited OFW Medical Clinics & Hospital,"No. 46, El Roi Medical And Diagnostic Center, Incorporated, K-5Th Street, Kamuning, K-5th, Quezon City",Kamuning,4.0,Health centers,,Private hospital,For Validation,14.6263072,121.0378075,,,,,,,Google API - For Validation
municipal health center,"J3Q8+3CQ, Quezon, Quezon City",Loyola Heights,3.0,Health centers,,Health center,For Validation,14.6377083,121.0661138,,,,,,,Google API - For Validation
Accredited OFW Medical Clinics & Hospital,"No. 674, HPD International, N.S. Amoranto Sr. Avenue, Sto. Domingo, Quezon City",Maharlika,1.0,Health centers,,Private hospital,For Validation,14.6314583,120.9993113,,,,,,,Google API - For Validation
