name_original,address,address_clean,barangay,district,major_division,sub_division,category,source_reference,open_hours,close_hours,longitude,latitude,frequency_mon_fri,frequency_saturday,frequency_sunday,bus_route,data_source
"Quezon City Academy Foundation, Inc","1144 EDSA, Ramon Magsaysay, Q.C.","1144 EDSA, Ramon Magsaysay, Quezon City, Philippines",Ramon Magsaysay,1.0,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0258948,14.6568935,,,,,Administrative data
"Quezon City Academy Foundation, Inc","1144 EDSA, Ramon Magsaysay, Q.C.","1144 EDSA, Ramon Magsaysay, Quezon City, Philippines",Ramon Magsaysay,1.0,Schools,Private,Senior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0258948,14.6568935,,,,,Administrative data
"Quezon City Adventist Elementary School, Inc.","#99 N. Ramirez St., Galas, Brgy. Don Manuel, QC","99 N. Ramirez Street, Galas, Barangay Don Manuel, Quezon City, Philippines",Don Manuel,4.0,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.007449,14.614502,,,,,Administrative data
"Quezon City Christ is Lord Academy (QCLA), Inc.","#52 Roxas St. Pael Compd., Brgy. Culiat, QC","52 Roxas Street Pael Compd., Barangay Culiat, Quezon City, Philippines",Roxas,4.0,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,,,,,,,Administrative data
"Quezon City Christ is Lord Academy (QCLA), Inc.","#52 Roxas St. Pael Compd., Brgy. Culiat, QC","52 Roxas Street Pael Compd., Barangay Culiat, Quezon City, Philippines",Roxas,4.0,Schools,Private,Senior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,,,,,,,Administrative data
"Quezon City Christ is Lord Academy (QCLA), Inc.","#52 Roxas St. Pael Compd., Brgy. Culiat, QC","52 Roxas Street Pael Compd., Barangay Culiat, Quezon City, Philippines",Roxas,4.0,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,,,,,,,Administrative data
"Quezon City Christ is Lord Academy (QCLA), Inc.","#52 Roxas St. Pael Compd., Brgy. Culiat, QC","52 Roxas Street Pael Compd., Barangay Culiat, Quezon City, Philippines",Roxas,4.0,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,,,,,,,Administrative data
Quezon City Christian Academy,"52 Mariano Cuenco St., Brgy. Lourdes, QC","52 Mariano Cuenco Street, Barangay Lourdes, Quezon City, Philippines",Lourdes,1.0,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.004467,14.6228951,,,,,Administrative data
Quezon City Christian Academy,"52 Mariano Cuenco St., Brgy. Lourdes, QC","52 Mariano Cuenco Street, Barangay Lourdes, Quezon City, Philippines",Lourdes,1.0,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.004467,14.6228951,,,,,Administrative data
Quezon City Christian Academy,"52 Mariano Cuenco St., Brgy. Lourdes, QC","52 Mariano Cuenco Street, Barangay Lourdes, Quezon City, Philippines",Lourdes,1.0,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.004467,14.6228951,,,,,Administrative data
Quezon City Christian Academy,"52 Mariano Cuenco St., Brgy. Lourdes, QC","52 Mariano Cuenco Street, Barangay Lourdes, Quezon City, Philippines",Lourdes,1.0,Schools,Private,Senior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.004467,14.6228951,,,,,Administrative data
Quezon City High School,,,Sacred Heart,4.0,Schools,Public,High school,"Data_QC Caring Cities Tracker, QC Administrative Data - Public schools",,,121.037631,14.6300175,,,,,Administrative data
Quezon City Science High School,,,Sto. Cristo,1.0,Schools,Public,High school,"Data_QC Caring Cities Tracker, QC Administrative Data - Public schools",,,121.0297881,14.6587159,,,,,Administrative data
Quirino ES,,,Quirino 2-B,3.0,Schools,Public,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Public schools",,,121.0608835,14.631943,,,,,Administrative data
Quirino HS,,,Duyan-duyan,3.0,Schools,Public,High school,"Data_QC Caring Cities Tracker, QC Administrative Data - Public schools",,,121.0673249,14.6310241,,,,,Administrative data
Ramon Magsaysay Cubao HS,,,Pinagkaisahan,4.0,Schools,Public,High school,"Data_QC Caring Cities Tracker, QC Administrative Data - Public schools",,,121.0465869,14.6274013,,,,,Administrative data
Ramon Magsaysay Elementary School,,,Ramon Magsaysay,1.0,Schools,Public,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Public schools",,,120.9990825,14.6286191,,,,,Administrative data
Raymundo Punongbayan ES,,,Payatas,2.0,Schools,Public,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Public schools",,,121.1178725,14.7274113,,,,,Administrative data
"Red Brick Academy, Inc.","#34 Beethoven St., Corner Genesis St., Greenville Subd., Brgy Sauyo, QC","34 Beethoven Street, Corner Genesis Street, Greenville Subdivision, Barangay Sauyo, Quezon City, Philippines",Sauyo,6.0,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0378931,14.689434,,,,,Administrative data
"Red Brick Academy, Inc.","#34 Beethoven St., Corner Genesis St., Greenville Subd., Brgy Sauyo, QC","34 Beethoven Street, Corner Genesis Street, Greenville Subdivision, Barangay Sauyo, Quezon City, Philippines",Sauyo,6.0,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0378931,14.689434,,,,,Administrative data
"Red Brick Academy, Inc.","#34 Beethoven St., Corner Genesis St., Greenville Subd., Brgy Sauyo, QC","34 Beethoven Street, Corner Genesis Street, Greenville Subdivision, Barangay Sauyo, Quezon City, Philippines",Sauyo,6.0,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0378931,14.689434,,,,,Administrative data
"Resurrection Catholic School, Inc.","Parokya Rd., Bagbag, Nova., QC","Parokya Road, Bagbag, Nova., Quezon City, Philippines",Bagbag,5.0,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0319184,14.6960442,,,,,Administrative data
"Resurrection Catholic School, Inc.","Parokya Rd., Bagbag, Nova., QC","Parokya Road, Bagbag, Nova., Quezon City, Philippines",Bagbag,5.0,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0319184,14.6960442,,,,,Administrative data
"Resurrection Catholic School, Inc.","Parokya Rd., Bagbag, Nova., QC","Parokya Road, Bagbag, Nova., Quezon City, Philippines",Bagbag,5.0,Schools,Private,Senior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0319184,14.6960442,,,,,Administrative data
"Resurrection Catholic School, Inc.","Parokya Rd., Bagbag, Nova., QC","Parokya Road, Bagbag, Nova., Quezon City, Philippines",Bagbag,5.0,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0319184,14.6960442,,,,,Administrative data
Richland Montessori School,"L5 B5, Richland Subd., Brgy. Bagbag, Nova., QC","L5 B5, Richland Subdivision, Barangay Bagbag, Nova., Quezon City, Philippines",Bagbag,5.0,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,,,,,,,Administrative data
Richland Montessori School,"L5 B5, Richland Subd., Brgy. Bagbag, Nova., QC","L5 B5, Richland Subdivision, Barangay Bagbag, Nova., Quezon City, Philippines",Bagbag,5.0,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,,,,,,,Administrative data
Richland Montessori School,"L5 B5, Richland Subd., Brgy. Bagbag, Nova., QC","L5 B5, Richland Subdivision, Barangay Bagbag, Nova., Quezon City, Philippines",Bagbag,5.0,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,,,,,,,Administrative data
Rosa L. Susano - Novaliches ES,,,Gulod,5.0,Schools,Public,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Public schools",,,121.0407736,14.7172703,,,,,Administrative data
Sacred Heart Academy of Nova.,"1155 Quirino H-way, Kaligayahan,Nova., QC","1155 Quirino H-way, Kaligayahan,Nova., Quezon City, Philippines",Kaligayahan,5.0,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0490078,14.7324336,,,,,Administrative data
Sacred Heart Academy of Nova.,"1155 Quirino H-way, Kaligayahan,Nova., QC","1155 Quirino H-way, Kaligayahan,Nova., Quezon City, Philippines",Kaligayahan,5.0,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0490078,14.7324336,,,,,Administrative data
Sacred Heart Academy of Nova.,"1155 Quirino H-way, Kaligayahan,Nova., QC","1155 Quirino H-way, Kaligayahan,Nova., Quezon City, Philippines",Kaligayahan,5.0,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0490078,14.7324336,,,,,Administrative data
