,name_original,address,address_clean,barangay,district,major_division,sub_division,category,source_reference,open_hours,close_hours,longitude,latitude,frequency_mon_fri,frequency_saturday,frequency_sunday,bus_route,data_source
226,Campo 2,"Campo 2, Tandang Sora","Campo 2, Tandang Sora, Quezon City, Philippines",Talipapa,6,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0236257,14.6805643,#N/A,#N/A,#N/A,#N/A,Administrative data
227,CANO,Blk 5 Lot 1 Sto. Niño Village,"Blk 5 Lot 1 Sto. Niño Village, Quezon City, Philippines",Talipapa,6,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
238,Carmel V,"37 Taurus St., Carmel V","37 Taurus Street, Carmel V, Quezon City, Philippines",Tandang Sora,6,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0369596,14.6863055,#N/A,#N/A,#N/A,#N/A,Administrative data
242,cascades hiraya school inc.,"#74 unit 6-8 ground floor, creekside square building, tomas morato ave., kristong hari, quezon city, ncr, 1112","74 unit 6-8 ground floor, creekside square building, tomas morato Avenue, kristong hari, quezon city, ncr, 1112, Philippines",Kristong Hari,4,Childcare,Private,Child learning center,"QC Future Ready dashboard, Childcare",8:00AM,5:00AM,121.0335014,14.625775,#N/A,#N/A,#N/A,#N/A,Administrative data
254,Cenacle Drive,"5A Cenacle Drive, Sitio Mabilog","5A Cenacle Drive, Sitio Mabilog, Quezon City, Philippines",Culiat,6,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0480931,14.6658433,#N/A,#N/A,#N/A,#N/A,Administrative data
256,Centerville,Philand back of basketball court,"Philand back of basketball court, Quezon City, Philippines",Pasong Tamo,6,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0494955,14.675465,#N/A,#N/A,#N/A,#N/A,Administrative data
262,Chamberette Doña Imelda,Chamberette Building Guirayan St. Brgy. Doña Imelda,"Chamberette Building Guirayan Street Barangay Doña Imelda, Quezon City, Philippines",Doña Imelda,4,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0178547,14.611534,#N/A,#N/A,#N/A,#N/A,Administrative data
263,Champaca,"Barangay Hall Building, Sampaguita St., Area 5","Barangay Hall Building, Sampaguita Street, Area 5, Quezon City, Philippines",Capri,5,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
272,childs kingdom of learning in q.c. inc.,"roque comp, 38 npc village , tandang sora, quezon city, ncr, 1116","roque comp, 38 npc village , tandang sora, quezon city, ncr, 1116, Philippines",Tandang Sora,6,Childcare,Private,Child learning center,"QC Future Ready dashboard, Childcare",8:00AM,5:00PM,121.0469817,14.69034,#N/A,#N/A,#N/A,#N/A,Administrative data
296,Claro,"20 Almon St., Brgy. Claro","20 Almon Street, Barangay Claro, Quezon City, Philippines",Claro (Quirino 3-B),3,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.065153,14.632474,#N/A,#N/A,#N/A,#N/A,Administrative data
338,Covenant,"David St., Covenant Village, Brgy. Bagong Silangan","David Street, Covenant Village, Barangay Bagong Silangan, Quezon City, Philippines",Bagong Silangan,2,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.1095014,14.7022275,#N/A,#N/A,#N/A,#N/A,Administrative data
346,creative circle child development house inc.,"blk. 27 lot 17, salawikain st., greater lagro, quezon city, ncr","blk. 27 lot 17, salawikain Street, greater lagro, quezon city, ncr, Philippines",Greater Lagro,5,Childcare,Private,Day care center,"QC Future Ready dashboard, Childcare",8:00AM,5:00PM,121.0676357,14.722345,#N/A,#N/A,#N/A,#N/A,Administrative data
355,cubbie play and learning center,"unit 201, redgold building, 1840 e.rodriguez sr. ave., immaculate concepcion, quezon city, ncr, 1111","unit 201, redgold building, 1840 e.rodriguez sr. Avenue, immaculate concepcion, quezon city, ncr, 1111, Philippines",Immaculate Concepcion,4,Childcare,Private,Child learning center,"QC Future Ready dashboard, Childcare",8:00AM,5:00PM,121.0455672,14.6227351,#N/A,#N/A,#N/A,#N/A,Administrative data
361,Daan Tubo,"Area II, across Dela Estrada Church, Brgy. Loyola Heights","Area II, across Dela Estrada Church, Barangay Loyola Heights, Quezon City, Philippines",Loyola Heights,3,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
365,Damayan,30 San Vicente St.,"30 San Vicente Street, Quezon City, Philippines",Damayan,1,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0150506,14.6395624,#N/A,#N/A,#N/A,#N/A,Administrative data
366,Damayang Lagi,Block 4 (Chapel) E. Rodriguez Sr. Ave. Brgy. Damayang Lagi,"Block 4 (Chapel) E. Rodriguez Sr. Avenue Barangay Damayang Lagi, Quezon City, Philippines",Damayang Lagi,4,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
368,De Gloria,"De Gloria Taniman Ext. Talanay Area, Brgy. Batasan Hills","De Gloria Taniman Extension Talanay Area, Barangay Batasan Hills, Quezon City, Philippines",Batasan Hills,2,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0969607,14.6817503,#N/A,#N/A,#N/A,#N/A,Administrative data
369,de paul payatas day care center inc.,"phase 1 purok 3, lupang pangako, payatas, quezon city, ncr, 1119","phase 1 purok 3, lupang pangako, payatas, quezon city, ncr, 1119, Philippines",Payatas,2,Childcare,Private,Day care center,"QC Future Ready dashboard, Childcare",8:00AM,5:00PM,121.110013,14.718739,#N/A,#N/A,#N/A,#N/A,Administrative data
375,Del Monte,"21 Florencia West SFDM
Multipurpose Hall","21 Florencia West SFDM
Multipurpose Hall, Quezon City, Philippines",Del Monte,1,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0137002,14.6418322,#N/A,#N/A,#N/A,#N/A,Administrative data
376,Del Nacia,Dal Nacia 3 Subd.,"Dal Nacia 3 Subdivision, Quezon City, Philippines",Talipapa,6,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
379,diliman educational corporation,"1, don raymundo st., san agustin village, talipapa, quezon city, ncr, 1116","1, don raymundo Street, san agustin village, talipapa, quezon city, ncr, 1116, Philippines",San Agustin,5,Childcare,Private,Child learning center,"QC Future Ready dashboard, Childcare",8:00AM,5:00PM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
380,diliman educational corporation,"l43 b4, commonwealth ave, matandang balara, quezon city, ncr, 1119","l43 b4, commonwealth ave, matandang balara, quezon city, ncr, 1119, Philippines",Commonwealth,2,Childcare,Private,Child learning center,"QC Future Ready dashboard, Childcare",8:00AM,5:00PM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
389,Dioquino Zobel,"18 Lizardo St. 20th Ave., Brgy. Dioquino Zobel","18 Lizardo Street 20th Avenue, Barangay Dioquino Zobel, Quezon City, Philippines",Dioquino Zobel,3,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0646244,14.6195408,#N/A,#N/A,#N/A,#N/A,Administrative data
396,discoveryplayschool day care center,"unit f, doc pau bldg.,, blk 27, lot 26, 73 pontiac st. , fairview, quezon city, ncr, 1118","unit f, doc pau Building, blk 27, lot 26, 73 pontiac Street , fairview, quezon city, ncr, 1118, Philippines",Fairview,5,Childcare,Private,Child learning center,"QC Future Ready dashboard, Childcare",7:30AM,7:00PM,121.0688029,14.7045034,#N/A,#N/A,#N/A,#N/A,Administrative data
