barangay,center_name,address,district,latitude,longitude
Kaligayahan,Junji,"Junji Street, Rolling Hills Western Village, Brgy. Kaligayahan",District 5,14.73462079197254,121.04604649872279
Kaligayahan,Mockingbird,"Barangay Kaligayahan Hall, Mockingbird St. Zabarte Subd., Brgy. Kaligayahan",District 5,14.73462079197254,121.04604649872279
Kaligayahan,Tawid Sapa I,"Blk. 10 Phase 1, Kalinga Tawid Sapa, Brgy. Kaligayahan",District 5,14.73462079197254,121.04604649872279
Kaligayahan,Tawid Sapa II,"Zone 1 cor. Sampalucan St., Tawid Sapa, Brgy. Kaligayahan",District 5,14.73462079197254,121.04604649872279
Kaligayahan,Bistekville 2,"1st Flr Bistekville II Multi-Purpose Hall Building, Brgy. Kaligayahan",District 5,14.73462079197254,121.04604649872279
Sta. Lucia,Bonifacio,"2/F BPSO Building, Brgy. Hall Compound, A. Bonifacio St. Brgy. Sta. Lucia Ave.",District 5,14.706486672684054,121.05091908281818
Sta. Lucia,Balagtas,25 Balagtas St. cor. M. Aquino St. Brgy. Sta. Lucia,District 5,14.706486672684054,121.05091908281818
Sta. Lucia,Sitio 6,"Lot 18 Blk 52, Abad Santos St, Sitio 6, Brgy. Sta Lucia",District 5,14.706486672684054,121.05091908281818
Sta. Lucia,Tarhaville,"Blk 13 Lapu-lapu, Tarhaville Village, Brgy. Sta Lucia",District 5,14.706486672684054,121.05091908281818
Sta. Lucia,Plainville,"St. Joseph St., Plainville Subdivision",District 5,14.706486672684054,121.05091908281818
